Date,Product,Region,Units_Sold,Price_Per_Unit,Discount_Rate,Cost_Per_Unit,Revenue_Before_Discount,Discount_Amount,Revenue,Total_Cost,Profit,Profit_Margin,Month,Month_Name,Day_Of_Week,Quarter,Year_Month,Week
2023-01-01,Product_A,North,71,50,0.19014286128198324,33.65996970905702,3550,675.0071575510405,2874.9928424489594,2389.8578493430487,485.1349931059108,16.87,1,January,Sunday,1,2023-01,52
2023-01-01,Product_A,South,80,50,0.1193700315892974,32.22916376426795,4000,477.4801263571896,3522.5198736428106,2578.333101141436,944.1867725013744,26.8,1,January,Sunday,1,2023-01,52
2023-01-01,Product_A,East,94,50,0.09184977839317343,31.66854305569511,4700,431.6939584479151,4268.306041552085,2976.8430472353402,1291.4629943167447,30.26,1,January,Sunday,1,2023-01,52
2023-01-01,Product_A,West,43,50,0.13017769458977058,30.2820578951355,2150,279.88204336800675,1870.1179566319934,1302.1284894908265,567.9894671411669,30.37,1,January,Sunday,1,2023-01,52
2023-01-01,Product_B,North,49,75,0.04246782213565523,46.363687254053254,3675,156.06924634853297,3518.930753651467,2271.8206754486096,1247.1100782028575,35.44,1,January,Sunday,1,2023-01,52
2023-01-01,Product_B,South,40,75,0.12349630192554331,49.5873987036621,3000,370.4889057766299,2629.51109422337,1983.4959481464841,646.0151460768859,24.57,1,January,Sunday,1,2023-01,52
2023-01-01,Product_B,East,68,75,0.10495493205167783,47.998957287864414,5100,535.2701534635569,4564.729846536443,3263.92909557478,1300.8007509616627,28.5,1,January,Sunday,1,2023-01,52
2023-01-01,Product_B,West,79,75,0.07327236865873835,48.42052488162776,5925,434.1387843030247,5490.861215696976,3825.2214656485935,1665.6397500483822,30.33,1,January,Sunday,1,2023-01,52
2023-01-01,Product_C,North,66,100,0.12367720186661746,63.82461991267162,6600,816.2695323196752,5783.730467680325,4212.424914236327,1571.3055534439982,27.17,1,January,Sunday,1,2023-01,52
2023-01-01,Product_C,South,83,100,0.093352578649596,68.5994040673632,8300,774.8264027916467,7525.173597208353,5693.750537591145,1831.4230596172083,24.34,1,January,Sunday,1,2023-01,52
2023-01-01,Product_C,East,26,100,0.03410482473745831,60.65051592985279,2600,88.6725443173916,2511.3274556826086,1576.9134141761724,934.4140415064362,37.21,1,January,Sunday,1,2023-01,52
2023-01-01,Product_C,West,23,100,0.18844035113697055,65.63288217845539,2300,433.41280761503225,1866.5871923849677,1509.5562901044739,357.0309022804938,19.13,1,January,Sunday,1,2023-01,52
2023-01-02,Product_A,North,28,50,0.003193250444042839,31.154469128110744,1400,4.470550621659974,1395.5294493783401,872.3251355871008,523.2043137912393,37.49,1,January,Monday,1,2023-01,1
2023-01-02,Product_A,South,79,50,0.024407646968955768,32.47588455055635,3950,96.41020552737528,3853.589794472625,2565.594879493952,1287.994914978673,33.42,1,January,Monday,1,2023-01,1
2023-01-02,Product_A,East,66,50,0.034672930701554416,31.9553030378662,3300,114.42067131512957,3185.5793286848702,2109.050000499169,1076.5293281857012,33.79,1,January,Monday,1,2023-01,1
2023-01-02,Product_A,West,69,50,0.1325044568707964,31.55855538044705,3450,457.14037620424756,2992.8596237957527,2177.5403212508463,815.3193025449063,27.24,1,January,Monday,1,2023-01,1
2023-01-02,Product_B,North,25,75,0.04158833257363777,49.25775245864993,1875,77.97812357557082,1797.0218764244291,1231.4438114662482,565.5780649581809,31.47,1,January,Monday,1,2023-01,1
2023-01-02,Product_B,South,82,75,0.1684569549189997,48.37315600027324,6150,1036.010272751848,5113.989727248152,3966.5987920224056,1147.3909352257465,22.44,1,January,Monday,1,2023-01,1
2023-01-02,Product_B,East,93,75,0.17896547008552977,49.484249841083134,6975,1248.28415384657,5726.71584615343,4602.035235220731,1124.680610932699,19.64,1,January,Monday,1,2023-01,1
2023-01-02,Product_B,West,67,75,0.06530815376116708,49.27832980804049,5025,328.1734726498646,4696.826527350136,3301.6480971387127,1395.178430211423,29.7,1,January,Monday,1,2023-01,1
2023-01-02,Product_C,North,81,100,0.06506606615265287,63.88677289689482,8100,527.0351358364883,7572.964864163512,5174.82860464848,2398.136259515032,31.67,1,January,Monday,1,2023-01,1
2023-01-02,Product_C,South,72,100,0.11735023313276965,69.65255307264138,7200,844.9216785559415,6355.078321444058,5014.983821230179,1340.0945002138787,21.09,1,January,Monday,1,2023-01,1
2023-01-02,Product_C,East,79,100,0.1085392166316497,61.40924224974762,7900,857.4598113900327,7042.540188609967,4851.330137730062,2191.210050879905,31.11,1,January,Monday,1,2023-01,1
2023-01-02,Product_C,West,34,100,0.0330533878126005,60.156364067411936,3400,112.38151856284169,3287.618481437158,2045.3163782920058,1242.3021031451524,37.79,1,January,Monday,1,2023-01,1
2023-01-03,Product_A,North,28,50,0.1544489538593315,30.993578407670864,1400,216.2285354030641,1183.7714645969359,867.8201954147842,315.9512691821517,26.69,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_A,South,83,50,0.16309228569096684,33.53428671923808,4150,676.8329856175123,3473.1670143824877,2783.3457976967607,689.821216685727,19.86,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_A,East,54,50,0.15803510810624113,33.029799873905056,2700,426.6947918868511,2273.305208113149,1783.609193190873,489.69601492227616,21.54,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_A,West,60,50,0.18299193510875617,34.250192888948995,3000,548.9758053262685,2451.0241946737315,2055.01157333694,396.01262133679165,16.16,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_B,North,31,75,0.06617960497052984,45.476687627145175,2325,153.86758155648187,2171.132418443518,1409.7773164415005,761.3551020020175,35.07,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_B,South,42,75,0.13376825053272146,49.99441767463122,3150,421.36998917807256,2728.6300108219275,2099.7655423345113,628.8644684874162,23.05,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_B,East,63,75,0.12751149427104264,51.65409556932245,4725,602.4918104306764,4122.508189569324,3254.208020867314,868.3001687020096,21.06,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_B,West,85,75,0.07658537495075797,52.28784071541828,6375,488.2317653110821,5886.768234688918,4444.466460810553,1442.3017738783647,24.5,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_C,North,22,100,0.1521570097233795,65.61277197569495,2200,334.7454213914349,1865.2545786085652,1443.480983465289,421.7735951432762,22.61,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_C,South,33,100,0.09875911927287816,65.22732829381994,3300,325.90509360049793,2974.094906399502,2152.501833696058,821.5930727034442,27.62,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_C,East,34,100,0.022178164162366266,64.3933650186577,3400,75.40575815204531,3324.594241847955,2189.374410634362,1135.219831213593,34.15,1,January,Tuesday,1,2023-01,1
2023-01-03,Product_C,West,71,100,0.006285837137346851,66.3641041126378,7100,44.62944367516264,7055.370556324838,4711.851391997284,2343.519164327554,33.22,1,January,Tuesday,1,2023-01,1
2023-01-04,Product_A,North,72,50,0.11265511439527674,33.47758043213064,3600,405.5584118229963,3194.4415881770037,2410.385791113406,784.0557970635978,24.54,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_A,South,42,50,0.12088347585556346,32.69920545650836,2100,253.85529929668326,1846.1447007033166,1373.3666291733512,472.7780715299655,25.61,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_A,East,48,50,0.045759633098324495,30.384899549143963,2400,109.82311943597878,2290.1768805640213,1458.4751783589102,831.7017022051111,36.32,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_A,West,79,50,0.13895698660794092,34.40233919507629,3950,548.8800971013667,3401.1199028986334,2717.7847964110265,683.3351064876069,20.09,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_B,North,62,75,0.1616240759128834,49.75052817382817,4650,751.5519529949079,3898.448047005092,3084.532746777347,813.9153002277453,20.88,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_B,South,25,75,0.09130691409658205,46.63830327912625,1875,171.20046393109135,1703.7995360689088,1165.9575819781562,537.8419540907526,31.57,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_B,East,50,75,0.17665605178377367,47.43258765753955,3750,662.4601941891513,3087.5398058108485,2371.6293828769776,715.9104229338709,23.19,1,January,Wednesday,1,2023-01,1
2023-01-04,Product_B,West,82,75,0.022010384905535352,46.70951371906456,6150,135.3638671690424,6014.636132830958,3830.180124963294,2184.4560078676636,36.32,1,January,Wednesday,1,2023-01,1
